timestamp,outside temperature,humidity,servers,cpu,memory,num network devices,no of UPS,no of light,servers_power_kw_internal,storage_total_power_kw,network devices total power (Kw),IT power consumption,UPS_total_power(Kw),PDU_total_power(Kw),lights_total_power(Kw),cooling_power_kw_internal,cooling system ratio,fan speed,cooling temperature
2025-08-03 00:00:00,29.07807713053737,69.39917522405186,45,62,70,10,2,10,13.01390212200054,1.7254342628468202,1.0,15.739336384847359,0.66,0.6296383151139182,0.36,8.84163593769279,0.5,69.58178394617609,22.649946809078116
2025-08-03 00:30:00,28.177698507940686,69.48690727941101,42,56,65,10,2,15,12.503579182686655,1.7230280451481723,1.0,15.226607227834828,0.66,0.6668697083044736,0.5399999999999999,13.208520652019182,0.5,80.9553540821273,23.88738402701643
2025-08-03 01:00:00,32.611350234557655,64.45832006375133,44,67,60,10,2,11,12.478100920846945,1.723264641567115,1.0,15.20136556241406,0.66,0.0,0.39599999999999996,23.51803793700701,0.5,73.76367012071975,22.989805540027657
2025-08-03 01:30:00,34.26719197611234,67.98381520284029,41,65,72,10,2,15,12.241431046097777,1.7704389575214001,1.0,15.011870003619176,0.66,0.23539428069774965,0.5399999999999999,17.524093307963348,0.5,92.09130772817697,24.0
2025-08-03 02:00:00,34.736294851673186,66.77665829318563,41,76,76,10,2,11,12.540606590270697,1.732064347628622,1.0,15.272670937899319,0.66,0.22655857837167925,0.39599999999999996,20.36927783851347,0.5,74.16867514572264,24.0
2025-08-03 02:30:00,32.70591555466387,66.02724029859502,40,65,74,10,2,12,12.30729180090641,1.7349801792319033,1.0,15.042271980138313,0.66,0.0,0.432,15.290845791830975,0.5,75.12196591453194,22.45284684442413
2025-08-03 03:00:00,32.56636315871482,63.143610015372445,41,61,77,10,2,12,12.168807668991969,1.7568847572467046,1.0,14.925692426238673,0.66,0.3607110998805859,0.432,18.98998316394296,0.5,79.34324796475626,22.733499600964794
2025-08-03 03:30:00,34.4845235533644,62.994262275747566,42,68,72,10,2,11,12.246250748697555,1.7250799750048065,1.0,14.971330723702362,0.66,0.39679931971653826,0.39599999999999996,24.55509475122511,0.5,82.30527716425684,22.777617020107567
2025-08-03 04:00:00,32.99659286231596,58.97381185484022,43,60,64,10,2,11,12.029632364994354,1.7272320808681005,1.0,14.756864445862455,0.66,0.6557191747924234,0.39599999999999996,20.511907328479406,0.5,78.03321306837404,22.987137487959288
2025-08-03 04:30:00,32.03783183161846,58.56932821554688,43,53,61,10,2,12,11.868689027423658,1.7543077788255657,1.0,14.622996806249223,0.66,0.0,0.432,10.321733612631881,0.5,79.56365007783452,22.436119036172816
